month,region,product_id,forecast_volume_mt,model
2026-02-01,APAC,P100,16984.32,HW (global + share allocation)
2026-02-01,APAC,P200,7571.06,HW (global + share allocation)
2026-02-01,EMEA,P100,30004.46,HW (global + share allocation)
2026-02-01,EMEA,P200,11618.38,HW (global + share allocation)
2026-03-01,APAC,P100,18513.48,HW (global + share allocation)
2026-03-01,APAC,P200,8252.7,HW (global + share allocation)
2026-03-01,EMEA,P100,32705.86,HW (global + share allocation)
2026-03-01,EMEA,P200,12664.42,HW (global + share allocation)
2026-04-01,APAC,P100,20107.37,HW (global + share allocation)
2026-04-01,APAC,P200,8963.21,HW (global + share allocation)
2026-04-01,EMEA,P100,35521.62,HW (global + share allocation)
2026-04-01,EMEA,P200,13754.74,HW (global + share allocation)
2026-05-01,APAC,P100,20846.44,HW (global + share allocation)
2026-05-01,APAC,P200,9292.66,HW (global + share allocation)
2026-05-01,EMEA,P100,36827.27,HW (global + share allocation)
2026-05-01,EMEA,P200,14260.32,HW (global + share allocation)
2026-06-01,APAC,P100,22270.45,HW (global + share allocation)
2026-06-01,APAC,P200,9927.44,HW (global + share allocation)
2026-06-01,EMEA,P100,39342.92,HW (global + share allocation)
2026-06-01,EMEA,P200,15234.43,HW (global + share allocation)
2026-07-01,APAC,P100,20493.41,HW (global + share allocation)
2026-07-01,APAC,P200,9135.3,HW (global + share allocation)
2026-07-01,EMEA,P100,36203.61,HW (global + share allocation)
2026-07-01,EMEA,P200,14018.82,HW (global + share allocation)
2026-02-01,GLOBAL,ALL,66178.22,Global-only HW (sum)
2026-03-01,GLOBAL,ALL,72136.46,Global-only HW (sum)
2026-04-01,GLOBAL,ALL,78346.94,Global-only HW (sum)
2026-05-01,GLOBAL,ALL,81226.7,Global-only HW (sum)
2026-06-01,GLOBAL,ALL,86775.25,Global-only HW (sum)
2026-07-01,GLOBAL,ALL,79851.15,Global-only HW (sum)
