month,region,product_id,customer_id,volume_sold,net_price_usd_per_mt
2023-01-01,NA,P100,CUST_002,6079.74,2423.59
2023-01-01,NA,P100,CUST_003,1096.46,2451.25
2023-01-01,NA,P100,CUST_006,1221.78,2457.5
2023-01-01,NA,P100,CUST_010,2995.3,2494.03
2023-01-01,NA,P100,CUST_011,2402.89,2555.99
2023-01-01,NA,P100,CUST_013,940.31,2626.63
2023-01-01,NA,P100,CUST_014,2037.39,2515.84
2023-01-01,NA,P100,CUST_015,2531.51,2580.33
2023-01-01,NA,P100,CUST_017,1046.84,2581.74
2023-01-01,NA,P100,CUST_018,3041.85,2467.59
2023-01-01,NA,P100,CUST_026,1597.49,2554.14
2023-01-01,NA,P100,CUST_027,2429.69,2516.52
2023-01-01,NA,P100,CUST_028,2283.16,2578.1
2023-01-01,NA,P100,CUST_029,1702.19,2499.95
2023-01-01,NA,P100,CUST_032,82.05,2470.83
2023-01-01,NA,P100,CUST_033,872.68,2501.05
2023-01-01,NA,P100,CUST_035,1674.79,2558.14
2023-01-01,NA,P100,CUST_036,227.44,2416.18
2023-01-01,NA,P100,CUST_037,548.42,2527.11
2023-01-01,NA,P100,CUST_034,835.01,2489.91
2023-01-01,NA,P100,CUST_039,2246.62,2433.87
2023-01-01,NA,P100,CUST_022,5351.18,2488.41
2023-01-01,NA,P200,CUST_002,110.48,2125.41
2023-01-01,NA,P200,CUST_003,469.2,2067.73
2023-01-01,NA,P200,CUST_006,241.33,2151.89
2023-01-01,NA,P200,CUST_010,194.04,2132.35
2023-01-01,NA,P200,CUST_011,320.2,2106.95
2023-01-01,NA,P200,CUST_013,34.78,2066.29
2023-01-01,NA,P200,CUST_014,1409.41,2134.11
2023-01-01,NA,P200,CUST_015,697.39,2156.11
2023-01-01,NA,P200,CUST_017,715.95,2139.8
2023-01-01,NA,P200,CUST_018,1531.33,2119.47
2023-01-01,NA,P200,CUST_027,4257.73,2124.93
2023-01-01,NA,P200,CUST_028,20.64,2058.84
2023-01-01,NA,P200,CUST_029,0.21,2135.3
2023-01-01,NA,P200,CUST_032,516.61,2097.35
2023-01-01,NA,P200,CUST_033,390.12,2022.89
2023-01-01,NA,P200,CUST_035,1528.37,2030.7
2023-01-01,NA,P200,CUST_036,512.43,2079.12
2023-01-01,NA,P200,CUST_037,507.34,2054.75
2023-01-01,NA,P200,CUST_016,982.79,2134.03
2023-01-01,NA,P200,CUST_007,1765.74,2114.28
2023-01-01,EMEA,P100,CUST_004,832.62,2372.71
2023-01-01,EMEA,P100,CUST_005,4390.22,2394.51
2023-01-01,EMEA,P100,CUST_009,1733.52,2397.74
2023-01-01,EMEA,P100,CUST_012,132.84,2467.57
2023-01-01,EMEA,P100,CUST_016,3101.49,2385.81
2023-01-01,EMEA,P100,CUST_020,1923.53,2294.46
2023-01-01,EMEA,P100,CUST_021,2113.06,2332.25
2023-01-01,EMEA,P100,CUST_023,474.13,2338.35
2023-01-01,EMEA,P100,CUST_024,1751.03,2356.84
2023-01-01,EMEA,P100,CUST_025,855.01,2381.93
2023-01-01,EMEA,P100,CUST_030,5208.92,2371.36
2023-01-01,EMEA,P100,CUST_034,315.26,2391.57
2023-01-01,EMEA,P100,CUST_040,2693.92,2350.43
2023-01-01,EMEA,P100,CUST_033,1850.7,2352.74
2023-01-01,EMEA,P100,CUST_018,148.3,2353.28
