month,region,competitor_price_index,regional_gdp_index,plant_outage_flag
2023-01-01,APAC,99.47,103.72,0
2023-01-01,EMEA,102.9,103.16,0
2023-01-01,NA,101.28,101.4,0
2023-02-01,APAC,98.0,101.43,0
2023-02-01,EMEA,103.46,102.52,0
2023-02-01,NA,100.1,102.1,0
2023-03-01,APAC,99.86,101.06,1
2023-03-01,EMEA,104.42,101.0,0
2023-03-01,NA,100.03,102.67,1
2023-04-01,APAC,101.67,99.55,0
2023-04-01,EMEA,106.65,100.69,0
2023-04-01,NA,100.91,103.06,0
2023-05-01,APAC,101.84,100.22,0
2023-05-01,EMEA,103.96,99.0,0
2023-05-01,NA,100.14,101.62,0
2023-06-01,APAC,101.93,102.09,0
2023-06-01,EMEA,102.19,99.83,0
2023-06-01,NA,100.58,100.89,0
2023-07-01,APAC,101.31,100.74,0
2023-07-01,EMEA,102.68,98.66,0
2023-07-01,NA,102.3,101.01,0
2023-08-01,APAC,101.3,99.67,0
2023-08-01,EMEA,104.2,100.1,0
2023-08-01,NA,103.28,100.67,0
2023-09-01,APAC,100.81,102.72,0
2023-09-01,EMEA,104.48,100.22,0
2023-09-01,NA,100.93,98.76,0
2023-10-01,APAC,100.46,104.63,0
2023-10-01,EMEA,103.71,101.22,0
2023-10-01,NA,101.6,100.67,0
2023-11-01,APAC,100.88,102.61,0
2023-11-01,EMEA,104.26,102.05,0
2023-11-01,NA,100.66,101.46,0
2023-12-01,APAC,101.02,104.05,0
2023-12-01,EMEA,102.64,102.8,0
2023-12-01,NA,100.0,103.17,0
2024-01-01,APAC,101.64,104.28,0
2024-01-01,EMEA,101.81,103.78,0
2024-01-01,NA,98.91,103.6,0
2024-02-01,APAC,100.58,104.92,0
2024-02-01,EMEA,103.15,104.2,0
2024-02-01,NA,100.41,105.17,0
2024-03-01,APAC,100.02,104.24,0
2024-03-01,EMEA,102.5,104.74,0
2024-03-01,NA,100.12,104.17,0
2024-04-01,APAC,100.17,103.3,0
2024-04-01,EMEA,100.5,103.46,0
2024-04-01,NA,99.7,105.29,0
2024-05-01,APAC,100.09,103.15,0
2024-05-01,EMEA,100.19,102.43,0
2024-05-01,NA,98.36,103.36,0
2024-06-01,APAC,99.96,103.04,0
2024-06-01,EMEA,102.19,101.93,0
2024-06-01,NA,98.6,104.48,0
2024-07-01,APAC,99.6,104.32,0
2024-07-01,EMEA,102.54,97.77,0
2024-07-01,NA,100.36,102.56,0
2024-08-01,APAC,101.5,104.06,0
2024-08-01,EMEA,102.32,99.61,0
2024-08-01,NA,98.74,101.0,0
2024-09-01,APAC,102.01,106.93,0
2024-09-01,EMEA,103.0,100.97,0
2024-09-01,NA,95.97,101.63,1
2024-10-01,APAC,102.84,106.4,0
2024-10-01,EMEA,100.56,100.97,0
2024-10-01,NA,97.98,102.64,0
2024-11-01,APAC,101.62,106.62,0
2024-11-01,EMEA,102.01,102.03,0
2024-11-01,NA,97.64,104.53,0
2024-12-01,APAC,99.61,110.34,0
2024-12-01,EMEA,99.7,103.99,0
2024-12-01,NA,96.81,106.11,0
2025-01-01,APAC,101.01,110.2,0
2025-01-01,EMEA,98.92,105.88,0
2025-01-01,NA,97.13,105.81,0
2025-02-01,APAC,101.79,107.54,0
2025-02-01,EMEA,100.26,104.34,0
2025-02-01,NA,97.4,106.95,0
2025-03-01,APAC,101.75,107.71,0
2025-03-01,EMEA,102.04,105.34,0
2025-03-01,NA,99.48,108.47,0
2025-04-01,APAC,102.68,108.41,0
2025-04-01,EMEA,101.6,105.67,1
2025-04-01,NA,101.18,106.96,1
2025-05-01,APAC,105.56,108.21,0
2025-05-01,EMEA,102.19,101.94,0
2025-05-01,NA,103.64,106.82,0
2025-06-01,APAC,106.17,107.94,0
2025-06-01,EMEA,102.47,102.51,0
2025-06-01,NA,103.34,105.89,1
2025-07-01,APAC,107.21,107.05,0
2025-07-01,EMEA,99.99,102.18,0
2025-07-01,NA,103.94,106.34,0
2025-08-01,APAC,104.23,108.2,0
2025-08-01,EMEA,99.5,101.15,0
2025-08-01,NA,105.39,104.45,0
2025-09-01,APAC,106.13,109.67,0
2025-09-01,EMEA,98.71,102.0,0
2025-09-01,NA,103.98,105.84,0
2025-10-01,APAC,105.65,111.11,0
2025-10-01,EMEA,100.11,104.54,0
2025-10-01,NA,103.55,106.53,0
2025-11-01,APAC,106.37,110.26,0
2025-11-01,EMEA,99.49,104.12,0
2025-11-01,NA,103.98,106.5,0
2025-12-01,APAC,105.52,112.65,0
2025-12-01,EMEA,100.22,105.03,0
2025-12-01,NA,105.79,108.53,0
2026-01-01,APAC,104.05,112.71,1
2026-01-01,EMEA,98.64,107.92,0
2026-01-01,NA,104.54,108.63,0
